,날짜,헤드라인
42,20220102,[속보] 2일 오후 6시 2318명 확진…전날 동시간보다 206명↓
43,20220102,2일 울산 38명 신규 확진…어린이집·학교 등 연쇄감염 이어져
44,20220102,"""성인 93% 접종, 효과 있나"" ""교회는 예외?"" 방역패스 강화에 불만 고조"
45,20220102,`방역패스` 3일부터 적용…200만 성인 미접종자는 증명 어떻게?
46,20220102,경남 5시까지 123명 확진…진주 학교 관련 11명 추가
47,20220102,"코로나 `방역패스` 3일부터 적용…""앱 미리 업데이트해야""(종합)"
48,20220102,부산 오후 2시까지 170명 확진…요양병원·주점 등 확산세
49,20220102,오미크론 확산세 영향…전 세계 코로나19 발생 20% 급증
50,20220102,"대전 대덕구, 올해부터 모든 출산가정에 30만원 축하금"
51,20220102,"전북, 전주·익산·군산 등 산발적 감염 지속…누적 9784명(종합)"
52,20220102,"방역당국 ""3일 방역패스 적용 전, 전자출입 앱 업데이트 해달라"""
53,20220102,'감염원 불명' 학교발 지역감염 여전…전남서 23명 추가
54,20220102,"장애인 자동차 표지 반납, 시청 등 차량등록부서에서도 가능"
55,20220102,법무부 인권국장에 첫 여성…민변 출신 위은진 변호사(종합)
56,20220102,부산 새해 첫날 216명 확진…중환자 병상 가동률 87.3%
57,20220102,법무부 인권국장에 변협 인권위원 출신 위은진 변호사
58,20220102,아이 낳아도 입양해도 200만원 준다[2022 이렇게 달라집니다]
59,20220102,어린이집·유치원·학원 확산세 지속…대구 1일 86명 신규 확진
60,20220102,"중국 ""신장에 강제노동 없다""…친중 해외인사 동원 반박"
61,20220102,"제주, 새해 출생아부터 '첫만남이용권' 200만원 지급"
62,20220102,대전 새해 첫날 미국 입국자 5명 포함 59명 코로나 확진
63,20220102,경주·경산·구미 등 16개 시군서 94명 확진…경북 누적 1만5525명
64,20220102,코로나 감소세·주말효과까지 확진자 3833명…3차 접종 36%(종합)
65,20220102,경남 새해 첫날 141명 확진…이틀 연속 감소세 '전날보다 21명↓'
66,20220102,경기 1일 신규 확진자 1277명…감소세 뚜렷
67,20220102,법무부 인권국장에 변협 인권위원 출신 위은진 변호사
68,20220102,신규 확진자 3833명… 일요일 기준 6주 만에 최저치
69,20220102,[속보] 코로나 신규 확진자 3833명...위중증 환자 1024명
70,20220102,1일 강원 신규 확진 59명…이틀 연속 50명대
71,20220102,"코로나 위중증 1024명, 13일째 네 자릿수"
72,20220102,[속보]오미크론 확진자 93명 늘어…누적 1207명
73,20220102,[속보]신규 확진자 3833명…위중증 1024명·사망 69명
74,20220102,[속보]코로나19 백신 신규 3차 접종 3.4만명…누적 36.0%
75,20220102,충북 새해 첫 날 50명 확진…돌파·학생감염 지속
76,20220102,[#나눔동행] 40여년간 떡국떡 나눔 이웃사랑 실천 김은기씨
77,20220102,[포켓이슈] 주말 폭설 대민지원은 당연히 병사들의 몫?
78,20220102,"""불법체류, 단속만이 능사 아냐…노동·행안·법무부 협력해야"""
79,20220102,"뮤지컬 데뷔한 이주청소년들 ""한국생활 적응하고 꿈도 생겼어요"""
80,20220102,새해 첫날 광주·전남서 '135명 추가'…외국인·요양병원발 확산(종합)
81,20220102,[100세건강]찬바람 불자 눈물이 '뚝'…안구건조증 예방법
82,20220102,"수면, 지친 몸과 뇌 회복시켜… 부족하면 건강 악화 초래"
83,20220102,스마트폰 없이 못 사는 당신 ‘손목터널증후군’ 조심해야
84,20220102,수요일엔 '짜장면 요리사' 되는 경찰관…올해로 20년째
85,20220102,"초근 유행하는 ‘블로퍼’, 발 건강에는?"
86,20220102,이유 없는 손발 저림과 통증… '말초신경장애' 의심
87,20220102,울면서 거부하는데도 고기반찬 먹인 어린이집 교사들 벌금형
88,20220102,혹시 우리아이 척추에 이상이? 세심한 관찰 필요한 ‘척추측만증’
89,20220102,"광주 시립 제1 요양병원, 호남권 최초 치매안심 병원에 지정"
90,20220102,"'시각장애인 패싱' 방역패스…""눈 감고 QR인증 가능하겠나"""
91,20220102,"인권위, '대북전단 살포단체 설립취소는 인권침해' 진정 각하"
92,20220102,오미크론 하루에 200여명…빠르면 1월에 누적 1만명 넘을까 '촉각'
93,20220102,한계 다다른 K방역…국민 참여·공감대 없으면 실패한다
94,20220102,"투투 대주교 장례 성당 주임사제 ""그의 유산 젊은층 이어갈 것"""
95,20220103,국내 첫 오미크론 사망…2차까지 접종한 90대 2명
96,20220103,"코로나 사망자, 고혈압·심부전 등 순환기계 질환자가 가장 많았다"
97,20220103,"오미크론 첫 사망자에 위중증 환자까지... ""고령층 감염 땐 위험"""
98,20220103,"'딩동' 소리에 다 쳐다봐 민망…자영업자는 ""일 더 늘었다"" 하소연"
99,20220103,"오미크론 대비 방역대책 짠다 ... ""앞으로 한 달이 '골든타임'"""
100,20220103,울산서 34명 신규 확진…어린이집·초중교 연쇄감염 10명 포함
101,20220103,소녀상 앞에 못 서는 30주년 수요시위…보수단체가 장소 선점
102,20220103,성남시 2027년까지 사회복지관 15개로 확대…인구대비 전국 최다
103,20220103,저소득 장애아동수당 인상…중증 月 2만원·경증 1만원↑
104,20220103,'이주여성 노동자 겪는 차별 없애려면'…4일 간담회 개최
105,20220103,"신군부 반대 유인물 만든 대학생, 40년 만에 재심 무죄"
106,20220103,경남 오늘 101명 확진…오미크론 2명 추가 '누적 23명'
107,20220103,"‘군산 군부대’발 코로나, 인근 지역으로 확산…오미크론도 확인"
108,20220103,성남시 “2027년까지 사회복지관 공급 전국 최고로 높인다”
109,20220103,"""외국인 보호소에 무기한 가두는 조항 개정해야"" 서명운동"
110,20220103,"서산시, 학교급식 식재료 공급 수수료 지원…급식비 증액 효과"
111,20220103,"오미크론 33일만에 1300명 ↑…검출률 8.8%, 일주새 2배 급증(종합)"
112,20220103,"`방역강화 효과` 가시화…당국, 오미크론 대비 전략 변화 시사(종합)"
113,20220103,"제주도, 지역복지사업 평가 '최우수'…정부 포상금 3천만원 전액 기부"
114,20220103,"""기재부가 예산 막는 한 법안 휴지조각""…장애인단체 5호선 승하차 시위"
115,20220103,"용인·수원·고양, 특례시로 새출발…권한 등 확대"
116,20220103,장애인의 이동권을 위해
117,20220103,장애인 권리를 위해
118,20220103,"'2022년, 장애인 위한 예산 확충하라'"
119,20220103,2022년에도 장애인의 권리 확보를 위해
120,20220103,장애인의 이동할 권리를 위해
121,20220103,광화문역에 모인 전장연
122,20220103,장애인의 권리와 예산 확보를 위해
123,20220103,'정부는 장애인 예산 확보하라'
124,20220103,장애인 이동권 보장하라
125,20220103,"서울시, 설 연휴 전후로 확진자 급증 예상…전담 구급대 50% 확대"
126,20220103,"울산, 12월 확진자 1226명…월간 최다 확진 기록 경신"
127,20220103,"""사고싶고, 가고싶게""…임실시장 상가 조성사업 본격화"
128,20220103,기재부 장애인권리예산 반영 촉구 기자회견
129,20220103,기재부 장애인권리예산 반영 촉구 기자회견
130,20220103,'장애인 탈시설 예산 보장하라'
131,20220103,'장애인 탈시설 예산 보장하라'
132,20220103,장애인단체 기자회견에 경찰 배치된 광화문역
133,20220103,장애인단체 기자회견에 경찰 배치된 광화문역
134,20220103,장애인단체 기자회견에 경찰 배치된 광화문역
135,20220103,지하철 5호선 타고 이동하는 장애인들
136,20220103,'장애인 이동권을 보장하라'
137,20220103,'장애인 이동권 보장을 위해'
138,20220103,'장애인의 권리를 위해'
139,20220103,지하철 타고 농성장으로
140,20220103,'장애인 탈시설예산 보장하라'
141,20220103,지하철 5호선 타고 이동하는 장애인 활동가들
142,20220103,"기장군, 4일부터 경로당·수영장·헬스장 제외 공공시설 단계적 개방"
143,20220103,장애인차별철폐연대 '장애인 이동권 보장하라'
144,20220103,장애인 이동권 보장 촉구 피케팅
145,20220103,장애인 이동권 보장 촉구 피케팅
146,20220103,장애인 이동권 보장 촉구 피케팅
147,20220103,지하철 탑승하는 장애인 단체
148,20220103,지하철 탑승하는 장애인 단체
149,20220103,장애인차별철폐연대 '장애인 이동권 보장하라'
150,20220103,"지하철 장애인단체 기자회견, 경찰 배치된 광화문역"
151,20220103,"지하철 장애인단체 기자회견, 경찰 배치된 광화문역"
152,20220103,비수도권 위험도 2주째 하향…주요 방역지표 회복세
153,20220103,"임인년 새해, 장애인 권리 보장하라"
154,20220103,"진주 학교 관련 열흘째 확산세…3일 10명 추가, 누적 106명"
155,20220103,"확진 10명 중 1명 '오미크론'…정부 ""우세종화 대비""(상보)"
156,20220103,"거제시, 올해부터 입영지원금·입학 축하금 지급한다"
157,20220103,"3차접종 후 확진자, 중증·사망 위험 93.6% 낮아(상보)"
158,20220103,"""손가락 치료하게 집 팔아라""…노모 상습 학대한 40대 실형"
159,20220103,"전국 6주·수도권 7주째 '매우 높음'…의료분과 ""일상회복 전략, 재구성 필요"""
160,20220103,"익산시, 맞춤형 복지로 사회안전망 강화…예산 36% 투입"
161,20220103,"[속보]코로나19 주간 위험도, 전국 6주·수도권 7주째 '매우 높음'"
162,20220103,"세종시, 아동친화도시 상위단계 인증…전국 광역시 최초"
163,20220103,가수 영탁 전북팬클럽 '오케이 탁자매'…희망나눔캠페인 동참
164,20220103,"경희대학교병원 원장원 교수, 대한근감소증학회장 취임"
165,20220103,서울 확진자 48일 만에 1000명 미만…병상가동율 48%
166,20220103,장애인 등록증 앞으로 집에서 받는다…소요 기간도 대폭 단축
167,20220103,[포토] QR코드 인증
168,20220103,[포토] 입장 전 QR코드 인증
169,20220103,[포토] 10일부터 접종증명 없으면 대형마트 이용 불가
170,20220103,[포토] 10일부터 대형마트도 방역패스 적용
171,20220103,[포토] 10일부터 방역패스 적용
172,20220103,[포토]  QR코드 인증
173,20220103,[포토] 대형마트 이용하려면 방역패스
174,20220103,[포토] 방역패스 10일부터 적용
175,20220103,"""오미크론 덜 위험? 방역패스가 방심패스?…오해 말아야""(상보)"
176,20220103,[포토] 대형마트 입장 전 출입 인증
177,20220103,12~17세 2차접종률 50% 넘었다 … 2월에 정상등교 여부 결정
178,20220103,"장애아동수당, 새해 중증 2만원·경증 1만원 인상"
179,20220103,"저소득 장애아동 수당 15년만에 인상, 중증 2만원·경증 1만원↑"
180,20220103,"광주서 오미크론 감염 90대 2명 사망…""첫 사망 사례"""
181,20220103,"당국, 백신·거리두기 무용론 ""의문제기, 과학적이지 않아"" 비판"
182,20220103,"오미크론 사망 90대 2명 요양병원서 숨져…""역학조사 중""(상보)"
183,20220103,"함안군, 사랑의 온도탑 조기 달성"
184,20220103,전북 코로나 확산세 주춤…거리두기 강화 조치 영향(종합)
185,20220103,부산 2일 173명 확진…한달 만에 '100명대' 감소
186,20220103,[함안소식] 사랑의 온도탑 시작 한 달 만에 조기 달성
187,20220103,"세종병원-영원아웃도어, 개발도상국 선천성 심장병 환자 돕는다"
188,20220103,오미크론 감염자 2명 사망... 국내 유입 후 첫 사례 추정
189,20220103,[Q&A]오늘 식당 가기 전 백신접종 업데이트 꼭 확인하세요
190,20220103,MZ세대의 빨라진 건강시계... 구강건강도 미리 챙겨야
191,20220103,"부산 오미크론 확진자 9명 발생…모두 해외입국자, 누적 20명"
192,20220103,"인천 일부 학생들 ""원격수업서 인권침해·언어폭력 경험"""
193,20220103,"""다문화가정이란 이유로 학교폭력 당한 아들, 어떻게 해야 하죠"""
194,20220103,대구 오미크론 확진자 4명 추가…누적 109명 중 어린이집 관련 90명
195,20220103,충남병원선 새해 첫 출항…도서주민 3500명 대상 본격 진료
196,20220103,"美서도 12~15세 추가접종 논란…전 FDA국장 ""기본접종으로 충분"""
197,20220103,울산서 13명 신규 확진…어린이집·초등학교 연쇄감염 4명 포함
198,20220103,"제주도교육청, '씨앗 성금'으로 위기 학생 63명 4000여 만원 지원"
199,20220103,[게시판] 서울 이주여성상담센터 상담 직원 모집
200,20220103,제주도교육청 항일운동 교육자료집 발간
201,20220103,"성남시, 특수고용직 이어 고위험 1인 사업주도 산재보험료 지원"
202,20220103,"서울 중구 ""초등돌봄센터 이용 학부모 99.4% 만족"""
203,20220103,[제주소식] 교육청 항일운동 교육자료집 발간
204,20220103,3129명 확진·위중증 1015명…오미크론 111명 늘어 총 1318명(종합)
205,20220103,"강북연세병원, ‘관절전문병원’ 선정"
206,20220103,"코로나 위중증 1015명, 14일째 네 자릿수"
207,20220103,경남 2일 132명 확진…사흘 연속 감소세
208,20220103,[속보] 신규확진 이틀째 3000명대…위중증 2주 연속 1000명
209,20220103,"확진자 3129명…김 총리 ""더 강해진 방역체계 마련해야""(종합)"
210,20220103,"""외모에 관심 많은 여고생, 살찌기 쉬운 식품 오히려 더 많이 섭취"""
211,20220103,"원주 밥상공동체, 취약 노인 보호 사업 최우수상"
212,20220103,오미크론 111명 추가 감염…해외 유입 19개국 101명
213,20220103,"원주 밥상공동체, 취약 노인 보호 사업 최우수상"
214,20220103,"오라팜 구강유산균, 치아 미백효과 특허 획득"
215,20220103,전북 코로나 확산세 주춤…2일 86명 확진
216,20220103,"임인년의 시작, 부푼 기대와 설렘이 당신의 건강을 위협할 수 있다"
217,20220103,"서울아산병원, 건강 콘텐츠 한 곳에 모은 ‘뉴스룸’ 오픈"
218,20220103,위중증 환자 14일째 1000명대…확진자 3129명
219,20220103,4대 한국의료분쟁조정중재원장에 박은수 원장 임명
220,20220103,"[속보]코로나19 백신 신규 3차 접종 1.6만명, 누적 36.0%"
221,20220103,"[속보]오미크론 확진자 111명 늘어, 누적 1318명"
222,20220103,[속보]신규 확진자 3129명 '주말 효과'…위중증 1015명·사망 36명
223,20220103,[속보] 오미크론 감염 111명 늘어 누적 1318명
224,20220103,국내발생 확진자 41일만에 2000명대…위중증 1015명·사망 36명
225,20220103,"[속보]3129명 확진, 국내발생 41일만에 2000명대…위중증 1015명"
226,20220103,경북 43일 만에 확진자 40명대로 줄어…누적 1만5574명
227,20220103,오미크론 연관 어린이집·유치원발 감염 지속…대구 98명 신규 확진
228,20220103,"[발언대] ""치매 환자·가족 삶의 질 높이는 데 도움줄 것"""
229,20220103,[톡톡 지방자치] 치매 환자 증상 완화 돕는 울산 남구 '치매안심하우스'
230,20220103,[홀로 맞은 임종] 50대 단칸방엔 쌀 한톨 없이 '빈 사발면' 1개만
231,20220103,"비만환자, 살 뺐더니…코로나 감염시 합병증 위험 60% 뚝"
232,20220103,“오미크론은 확산 빨라… 치료 속도전 필요”
233,20220103,최강 한파에 피부 동상·동창 예방법 [김수영 교수 피부칼럼]
234,20220104,"법원 “미접종자, 확산 위험 크다고 못해”… 식당 방역패스도 곧 판결"
235,20220104,부스터샷 대상자 중 292만명 예약 안해… 50대만 126만명
236,20220104,"복지부 ""학원·독서실 방역패스 적용 일시 중단"""
237,20220104,"[속보]정부 ""학원·독서실·스터디카페 방역패스 중단…항고여부 조속 결정"""
238,20220104,"백신 반대자로부터 공격당하는 이재갑 ""그래도 백신 맞읍시다"""
239,20220104,"법원 `제동`에 청소년 방역패스 변화 불가피…정부 ""항고여부 조속 결정""(종합)"
240,20220104,"""대통령과 각계 노력으로 제주4·3특별법 개정 법률안 공포"""
241,20220104,빠른 오미크론 잡으려면 빠른 항원검사로 대응한다?
242,20220104,"노옥희 울산교육감 ""전국 최상위 교육복지로 미래교육 기초 다졌다"""
243,20220104,"'친중' 머스크, 인권탄압 논란 중국 신장에 첫 테슬라 대리점(종합2보)"
244,20220104,"""배..고..파.."" 의식불명 다섯살 꼬마는 힘겨운 사투를 결국 이겨냈다 [내가 살린 환자, 나를 깨운 환자]"
245,20220104,대구 달성군 올해 보육예산 883억 투입…국·공립 어린이집 9곳 신설
246,20220104,올해 기초연금 월 7500원 인상... 물가상승률 2.5% 반영
247,20220104,"원하는 시간·장소로 찾아가는 강좌…""새해에도 계속됩니다"""
248,20220104,시각장애 외국인도 한국어 배운다…점자·소리책 해외 보급
249,20220104,"방역패스 논란에…당국 ""예외범위 전문가와 검토""(상보)"
250,20220104,"부산진구, 안면 인식 스마트 무인택배함 설치"
251,20220104,울산서 11세 이하 어린이 확진자 증가…지난주 60명 확진
252,20220104,"방역당국 ""마스크만으로 코로나 못 막아""…거리두기 `무용론` 반박"
253,20220104,"진주시, 노점상 100만원·대리기사 50만원 지원"
254,20220104,"전주시, 혁신도시에 돌봄 시설·생태체험장 조성…90억 투입"
255,20220104,전북 오미크론 확정자 9명 추가…누적 186명
256,20220104,올해 기초연금 月 30만7500원…물가 반영해 2.5% 인상
257,20220104,경남 지난주 하루 평균 196명 확진…전주보다 9.3명 감소
258,20220104,"고대의료원 김영훈 의부부총장, 로제타 홀 여사 가족 묘역 참배"
259,20220104,증평군 청년 주거·아동보육 지원정책 강화
260,20220104,"중국 출산휴가 190일까지 늘렸지만 여성들은 ""취업 막힐라"" 걱정"
261,20220104,포항시 인구 증가세 반전…지난해 936명 늘어
262,20220104,이정임 제천시의원 발의 '노인용 보행기 비용 지원 조례안' 입법예고
263,20220104,"고양시, 코로나 피해ㆍ집합금지 이행 업소 100만원씩 지급"
264,20220104,"당국 ""4차 접종 여부 검토 중…시행여부 아직 미정"""
265,20220104,[대구소식] 교육박물관 겨울방학 기간 애니메이션 상영
266,20220104,좀처럼 오르지 않는 대전 사랑의 온도탑…4일 현재 76.9도
267,20220104,"위중증·사망자 절반 이상 미접종…정부 ""방역패스 중요"""
268,20220104,'첫만남이용권' 관련 안내문
269,20220104,'첫만남이용권' 관련 안내문
270,20220104,'첫만남이용권' 신청 방법은?
271,20220104,'첫만남이용권' 관련 안내문
272,20220104,'첫만남이용권' 신청 방법은?
273,20220104,'첫만남이용권' 관련 안내문
274,20220104,'첫만남이용권' 관련 안내문
275,20220104,'첫만남이용권' 신청 방법은?
276,20220104,산림청 '코로나 대응인력 숲 치유' 요양병원 보호사들도 혜택
277,20220104,"사회공헌 유명기업 정석케미칼, 장학금 5000만원 기탁"
278,20220104,"""방바닥에 앉기 힘드시죠""…창녕군, 모든 경로당에 소파 지원"
279,20220104,"강태선 블랙야크 회장 부부, 적십자 아너스클럽 가입"
280,20220104,[청주소식] 청주수영장 아쿠아로빅·어린이 수영 강습 재개
281,20220104,지난해 전남서 5560명 코로나 확진…하루 평균 15명 감염
282,20220104,부산 지난 12월 코로나 사망자 102명…역대 '월 최다'
283,20220104,"제주, 해외입국자·입도객 오미크론 감염 잇따라…도내 모두 11명"
284,20220104,"'친중' 머스크, 인권탄압 논란 중국 신장에 첫 테슬라 대리점(종합)"
285,20220104,"인권위 ""노인장기요양보호법 개정안은 생존권 침해""…국회에 의견 표명"
286,20220104,"일각 '4차 접종' 필요 주장, 당국 ""정해진 것, 아무것도 없다"""
287,20220104,'장애학생 교육권 확보 촉구' 기자회견
288,20220104,장애학생 교육권 확보 촉구 기자회견
289,20220104,장애학생 교육권 확보 촉구 기자회견
290,20220104,장애학생 차별 없는 통합교육 촉구 기자회견
291,20220104,'장애학생 차별 없는 통합교육 촉구'
292,20220104,'장애학생 차별 없는 통합교육 촉구'
293,20220104,장애학생 교육권 촉구 기자회견
294,20220104,장애학생 교육권 촉구 기자회견
295,20220104,"부산 남구, 코로나19 예방접종 '영상'으로 기록"
296,20220104,"거창군, 60세 이상 백신 3차 접종률  91.1%…도내 1위"
297,20220104,"전북, 하루 90명 안팎 확진…가족·친척 간 감염 잇따라(종합)"
298,20220104,"방역당국 ""오미크론↑, 확진자도 ↑예상…의료대응, 델타보다 신속하게"""
299,20220104,"코로나 병상 2달새 6400개 늘어…""안정화 단계"""
300,20220104,[씨리얼]청소년 쉼터에 3일간 머무르고 알게 된 것
301,20220104,"미 오미크론 확산, 플로리다주 확진자 2주새 948% 증가"
302,20220104,작년 12월4주차 확진자 `10명 중 6명`…2차 접종 돌파감염
303,20220104,음성읍 문화·복지공간 확충…농촌중심지 활성화 사업 준공
304,20220104,'괴산형 커뮤니티케어시스템' 구축…차별화한 복지정책
305,20220104,"백신거부 의료인 ""목숨이 달린 일이니까""…정부의 딜레마"
306,20220104,"충남교육청, 소식지에 시각장애인 위한 음성 변환 코드 도입"
307,20220104,"인천 남동구, 올해 경단녀 취업 연계 사업 강화"
308,20220104,부산 3일 145명 확진…이틀째 '100명대' 진정세
309,20220104,이대서울병원 임인년 1호 출생아 탄생
310,20220104,임실에 장애인 공공 스포츠센터 조성…82억원 투자
311,20220104,광주 광산구 고려인마을에 홍범도 장군 공원 추진
312,20220104,대구 오미크론 감염 13명 추가…누적 122명 중 어린이집 관련 99명
313,20220104,"화천군, 지역출신 대학생에 전액 장학금"
314,20220104,칠곡서 부스터샷 맞은 60대 남성 사망…경북 아홉번째
315,20220104,[인사] 한국청소년정책연구원
316,20220104,"한림대동탄성심병원, ㈜파트론에서 의료비 5000만원 기부 받아"
317,20220104,"전북 코로나 확산세, 하루 90명 안팎 정체…3일 92명 확진"
318,20220104,대청호 인근 옥천군 청성면 '주민사랑방' 개관
319,20220104,"충북도, 주거급여 기준 완화…중위소득 46%로 확대"
320,20220104,울산서 15명 신규 확진…어린이집·초중학교 연쇄감염 2명 포함
321,20220104,"[속보]위중증 973명, 보름 만에 1000명↓…확진도 소폭 감소"
322,20220104,"임인년 다이어트 식단 트렌드는 '강황, 해조, 친환경'"
323,20220104,청년내일채움공제 받고도 장애인고용장려금 전액 지원받는다
324,20220104,서울성모 간담췌외과 유영경교수 대한간이식연구학회 회장 선출
325,20220104,경남 3일 116명 확진…나흘 연속 감소세
326,20220104,"위중증 973명, 15일만 1000명 아래…확진자 3024명(종합)"
327,20220104,"""아동·청소년 디지털성범죄 막기 위해 '온라인 수색' 허용해야"""
328,20220104,"남성은 과일, 여성은 어패류 섭취 부족하면 노쇠 위험 높아져"
329,20220104,"[속보]코로나19 백신 신규 3차 접종 47.2만명, 누적 37.0%"
330,20220104,"[속보]위중증 973명, 15일만 1000명 아래…확진 3024명·사망 51명"
331,20220104,저체중 출생아의 선천성 동맥관개존증 '비수술적 폐쇄' 성공
332,20220104,"전립선암 환자 절반 가량, 종양이 전립선 벗어난 3기 이후 발견"
333,20220104,"비타민 D 결핍, 코로나19 발병 위험 및 중증도 악화시켜"
334,20220104,사도광산의 상징인 V자형 아이카와 금은산
335,20220104,사도광산 메이지시대 갱도
336,20220104,메이지시대 이후 건설된 사도광산 갱도
337,20220104,"'백신 1차만 접종' 논란 천은미 교수 ""부작용 때문에 일상 생활 힘들었다"""
338,20220104,[1/4(화) 데일리안 출근길 뉴스] 與 당원 게시판 재운영 하자마자…“후보 바꿔라” 의견 빗발 등
339,20220104,"[100세건강]해짧은 겨울, 길어진 실내생활…노인 우울증 주의"
340,20220104,"[르포] 조선인 징용 현장 사도광산…""하루하루가 공포였다"""
341,20220104,올해 기초연금 월 7천500원 인상…물가상승률 2.5% 반영
342,20220104,"美연구팀 ""임신부 백신 맞는게 좋다…태아에도 항체 전달"""
343,20220104,박은수 한국의료분쟁조정중재원장
344,20220104,"HRW, 중국 인권탄압 침묵 ""IOC 수뇌부 사퇴 촉구"""
345,20220104,"테슬라, '인권탄압 논란' 중국 신장에 첫 대리점 개설"
346,20220105,"5일 9시 코로나19 확진자 3479여명…""거리두기·3차 접종 영향"""
347,20220105,"마크롱의 독특한 백신 접종자 늘리기... ""미접종자 열받게 할 것"""
348,20220105,"""고1도 정당 가입 가능해진다""…피선거권 18세 하향 후속조치"
349,20220105,"화이자 먹는 치료제 40만명분 추가 계약, 총 100만 4000명분 확보"
350,20220105,"정부, 화이자 먹는 코로나 치료제 40만명분 추가구매 계약…총100.4만명분 체결"
351,20220105,"정부 ""화이자 먹는 코로나19 치료제 '팍스로비드', 40만명분 추가 구매"""
352,20220105,"번져가는 방역패스 반대론 ... 정부·전문가들 ""폐지는 안돼"" 선 그어"
353,20220105,코로나 신규 확진 오후 6시까지 전국 2877명…전일比 25명↑
354,20220105,"양성일 차관, 노인 일자리 수행기관 현장 방문"
355,20220105,"양성일 차관, 노인 일자리 수행기관 현장 방문"
356,20220105,"당국 ""방역패스, 코로나 예방과 확산 방지에 효과"" 법원 결정에 반박"
357,20220105,오후 6시까지 서울 975명 확진…전날보다 70명↓
358,20220105,"적십자, 여성봉사특별자문委 이혜원·한광원 1억원 기부"
359,20220105,"'미접종자 과태료 물린다더라' 가짜뉴스, 방역패스 불만 품고 퍼진다"
360,20220105,"기본소득 비판한 이상이 ""탈모약 건보 적용은 재정 파탄 낼 포퓰리즘"""
361,20220105,"""미접종자 기본권 침해, 방역패스 철회""…대구서도 반발 움직임"
362,20220105,"삼성서울병원, 저커버그재단 '인종 다양성 네트워크 프로젝트' 참여"
